seed,termination,extinct_year,reasons,final_year,max_lineage_gen,total_pop_ever,survived_years,sweep_key
175,EXTINCT_BLOOD,49,E1_no_male_born,50,1,936,49,{}
176,EXTINCT_BLOOD,22,E1_no_male_born,23,1,500,22,{}
177,EXTINCT_BLOOD,30,E1_no_male_born,31,0,623,30,{}
178,EXTINCT_BLOOD,11,E1_no_male_born,12,1,454,11,{}
179,EXTINCT_BLOOD,83,E2_male_unbred,84,2,1024,83,{}
180,EXTINCT_BLOOD,4,E1_no_male_born,5,0,384,4,{}
181,EXTINCT_BLOOD,169,E1_no_male_born,170,6,1796,169,{}
182,EXTINCT_BLOOD,4,E1_no_male_born,5,0,370,4,{}
183,EXTINCT_BLOOD,45,E1_no_male_born,46,2,659,45,{}
184,EXTINCT_BLOOD,27,E1_no_male_born,28,1,602,27,{}
185,EXTINCT_BLOOD,32,E1_no_male_born,33,0,613,32,{}
186,EXTINCT_BLOOD,30,E1_no_male_born,31,1,519,30,{}
187,EXTINCT_BLOOD,1,E1_no_male_born,2,0,327,1,{}
188,EXTINCT_BLOOD,32,E1_no_male_born,33,1,627,32,{}
189,EXTINCT_BLOOD,83,E1_no_male_born,84,3,933,83,{}
190,EXTINCT_BLOOD,96,E1_no_male_born,97,3,1166,96,{}
191,EXTINCT_BLOOD,49,E1_no_male_born,50,2,702,49,{}
192,EXTINCT_BLOOD,26,E1_no_male_born,27,0,484,26,{}
193,EXTINCT_BLOOD,6,E1_no_male_born,7,0,379,6,{}
194,EXTINCT_BLOOD,27,E1_no_male_born,28,0,514,27,{}
195,EXTINCT_BLOOD,22,E1_no_male_born,23,1,456,22,{}
196,EXTINCT_BLOOD,32,E1_no_male_born,33,1,630,32,{}
197,EXTINCT_BLOOD,61,E1_no_male_born,62,3,840,61,{}
198,POP_CAP,,,270,14,50264,270,{}
199,EXTINCT_BLOOD,6,E1_no_male_born,7,1,380,6,{}
